scale,spec,term,estimate,std.error,statistic,p.value,conf.low,conf.high,stars
score_17,B_loggdppc,log_GDPpc,6.844677339742092,0.9183740192879754,7.453038953615913,7.590422110101998e-12,5.029548227246751,8.659806452237433,***
score_16,B_loggdppc,log_GDPpc,6.360963719649502,0.941370860118192,6.757128342437605,3.1805741913701133e-10,4.500382281184932,8.22154515811407,***
score_basu60,B_loggdppc,log_GDPpc,-22.60651461692771,2.5457498604746718,-8.880100503162781,2.3346399941873688e-15,-27.638086272734277,-17.574942961121145,***
score_norm01,B_loggdppc,log_GDPpc,0.376775243615462,0.04242916434124457,8.880100503162774,2.334639994187487e-15,0.2929157160186858,0.46063477121223817,***
score_logPD,B_loggdppc,log_GDPpc,4.476824367187992,0.5706478060069269,7.845161796930924,8.651400816112993e-13,3.3489620541101104,5.604686680265873,***
score_60,C_growth_loggdppc,GDP_growth_pct,-0.0407571282822815,0.011026192949759045,-3.696391716342327,3.093791298250444e-4,-0.06254995277726835,-0.01896430378729465,***
score_60,C_growth_loggdppc,log_GDPpc,23.213568685049488,2.641852579795882,8.786852401447412,4.014795670585e-15,17.99205389064549,28.435083479453485,***
score_21,C_growth_loggdppc,GDP_growth_pct,-0.012405805467453861,0.003840749024145517,-3.230048459158011,0.001531383023190376,-0.019996890603899288,-0.004814720331008432,***
score_21,C_growth_loggdppc,log_GDPpc,7.709188052670172,0.8957455899982752,8.6064482356927,1.1406521274207728e-14,5.938783115631822,9.479592989708522,***
score_20,C_growth_loggdppc,GDP_growth_pct,-0.012405805467453861,0.003840749024145517,-3.230048459158011,0.001531383023190376,-0.019996890603899288,-0.004814720331008432,***
score_20,C_growth_loggdppc,log_GDPpc,7.7091880526701715,0.8957455899982752,8.6064482356927,1.1406521274207728e-14,5.938783115631821,9.479592989708522,***
score_17,C_growth_loggdppc,GDP_growth_pct,-0.01292297208953057,0.003717493366125445,-3.4762596235644474,6.711563319742182e-4,-0.020270447402033615,-0.005575496777027524,***
score_17,C_growth_loggdppc,log_GDPpc,7.03715760294511,0.9557091868773292,7.363283412539143,1.2399163854592994e-11,5.148237041445289,8.926078164444931,***
score_16,C_growth_loggdppc,GDP_growth_pct,-0.01341992532740707,0.003530257938780546,-3.8014007928391496,2.112741116525438e-4,-0.02039733738907063,-0.006442513265743509,***
score_16,C_growth_loggdppc,log_GDPpc,6.560845816530069,0.977881948752149,6.709241156258384,4.087085240197856e-10,4.628101687792778,8.49358994526736,***
score_basu60,C_growth_loggdppc,GDP_growth_pct,0.04075712828228151,0.011026192949759045,3.6963917163423274,3.0937912982504414e-4,0.01896430378729466,0.06254995277726835,***
