Country,Years,Avg_Actual,Avg_Shadow,Avg_Residual,RMSE,MaxAbsResid,TrendResid,Continent,IncomeGroup
Suriname,26,17.307692307692307,27.601413901453952,-10.293721593761642,11.425903806540248,19.83142518370674,-0.614953182694911,South_America,Upper_Middle_Income
Bosnia and Herzegovina,22,17.25,26.697710530340927,-9.44771053034093,9.954854278975066,13.71484099579563,-0.17281327323293874,Europe,Upper_Middle_Income
Iceland,26,44.48076923076923,53.8685190790415,-9.387749848272275,12.606285688222595,23.143114634746944,-0.20200510976228628,Europe,High_Income
Laos,6,9.5,18.87674281985142,-9.37674281985142,9.786658659178435,13.39977291892183,-0.8741441932087,Asia,Lower_Middle_Income
Costa Rica,26,27.23076923076923,36.500280826024145,-9.26951159525491,10.81236781910826,21.69026534339121,-0.282295987138414,North_America,Upper_Middle_Income
Sri Lanka,21,16.5,25.67665356183262,-9.176653561832623,11.369647277606166,24.349229094712907,-0.6129120939014887,Asia,Lower_Middle_Income
Greece,26,30.807692307692307,39.834189959935436,-9.026497652243135,15.180718910575306,30.13254348028535,-0.08148974272731323,Europe,High_Income
Uruguay,26,30.692307692307693,39.71856737957897,-9.026259687271274,10.494559228066022,20.24416625959315,-0.06971517111053459,South_America,High_Income
Jamaica,26,18.115384615384617,27.082250362664862,-8.966865747280245,10.126803626834617,17.654980165602815,0.040498689170468366,North_America,Upper_Middle_Income
Swaziland,6,16.0,23.92637982816055,-7.926379828160549,8.121877755907503,9.947488212023735,0.702511823955497,Africa,Lower_Middle_Income
Bahamas,26,35.30769230769231,42.92334265554673,-7.615650347854432,9.506166632171084,19.647035791949328,-0.6076513336761675,North_America,High_Income
Moldova,25,13.86,21.42190025251594,-7.5619002525159384,8.237001713422348,13.015943543460416,-0.2584663372414225,Europe,Upper_Middle_Income
Iraq,11,13.772727272727273,20.825733671286077,-7.0530063985588045,7.686450605546401,11.871426068648763,-0.5622051313988742,Asia,Upper_Middle_Income
Zambia,15,12.3,19.329045406106896,-7.029045406106899,9.678065531271445,17.994681943817884,-0.45320582047201746,Africa,Lower_Middle_Income
Belarus,19,15.31578947368421,22.299334164835887,-6.983544691151678,11.169380379007205,22.548498447404246,-1.4849151989302796,Europe,Upper_Middle_Income
Bahrain,26,33.17307692307692,39.71131931222227,-6.538242389145353,11.97452792885037,23.699443584745488,-0.43565277374517763,Asia,High_Income
Albania,19,21.236842105263158,26.60122622724637,-5.3643841219832105,6.119391134043053,11.371867617961271,0.08448127890367789,Europe,Upper_Middle_Income
Cyprus,26,38.26923076923077,43.214229708792345,-4.944998939561576,10.558823538512424,25.803080693708992,-0.15335196160475903,Europe,High_Income
Ukraine,26,15.461538461538462,20.088221934961112,-4.62668347342265,8.113815065135428,20.783521187105762,-1.079760356058969,Europe,Lower_Middle_Income
Congo,13,14.076923076923077,18.46835818267139,-4.391435105748315,6.457470939277289,8.638428079409362,0.11934649599990088,Africa,Lower_Middle_Income
Jordan,26,24.173076923076923,28.256042692911972,-4.082965769835052,5.5443622656928655,10.01878339667724,-0.06260251659208378,Asia,Upper_Middle_Income
Montenegro,22,23.931818181818183,27.71187764226227,-3.780059460444089,7.0873759862401275,13.073879119626284,-0.30172592953806676,Europe,Upper_Middle_Income
Dominican Republic,26,22.096153846153847,25.81589698417321,-3.719743138019363,5.290410136813337,9.544459621449267,0.03267039827117941,North_America,Upper_Middle_Income
Republic of the Congo,13,14.76923076923077,18.46835818267139,-3.699127413440624,8.466438944281654,12.66678992385396,-0.8806535040000991,Africa,Lower_Middle_Income
