ISO3,Year,RuleOfLaw
SMR,1998,0.881886
SOM,1998,-2.315045
SRB,1998,-1.279502
STP,1998,0.152985
SUR,1998,-0.102518
SVK,1998,0.205305
SVN,1998,1.23532
SWE,1998,1.677718
SWZ,1998,-0.210871
SYC,1998,0.451568
SYR,1998,-0.559163
TCD,1998,-1.090056
TGO,1998,-0.844475
THA,1998,0.518261
TJK,1998,-1.418469
TKM,1998,-1.30142
TON,1998,0.881886
TTO,1998,0.709772
TUN,1998,-0.255932
TUR,1998,-0.188179
TUV,1998,0.881886
TWN,1998,0.742081
TZA,1998,-0.205719
UGA,1998,-0.574301
UKR,1998,-1.083545
URY,1998,0.525321
USA,1998,1.596933
UZB,1998,-1.19914
VCT,1998,0.881886
VEN,1998,-0.760116
VNM,1998,-0.586445
VUT,1998,0.354354
WSM,1998,0.722327
YEM,1998,-1.34954
ZAF,1998,-0.00818
ZMB,1998,-0.462072
ZWE,1998,-0.928133
AND,2000,0.976528
AFG,2000,-1.915064
AGO,2000,-1.463303
ALB,2000,-0.969417
ARE,2000,0.532096
ARG,2000,-0.160553
ARM,2000,-0.444209
ATG,2000,0.964355
AUS,2000,1.796234
AUT,2000,1.899869
AZE,2000,-1.098241
BDI,2000,-1.244465
BEL,2000,1.334387
BEN,2000,-0.284382
BFA,2000,-0.662653
BGD,2000,-1.117822
BGR,2000,-0.090755
BHR,2000,0.303979
BHS,2000,1.242383
BIH,2000,-0.618862
BLR,2000,-0.968429
BLZ,2000,0.37597
BMU,2000,1.042845
BOL,2000,-0.45871
BRA,2000,-0.366495
BRB,2000,1.496363
BRN,2000,0.776337
BTN,2000,-0.18812
BWA,2000,0.590379
CAF,2000,-1.226337
CAN,2000,1.795216
CHE,2000,2.003931
CHL,2000,1.316448
CHN,2000,-0.61003
CIV,2000,-1.260489
CMR,2000,-1.272061
COD,2000,-2.058251
COG,2000,-1.266919
COL,2000,-1.051231
COM,2000,-1.414971
CPV,2000,0.807781
CRI,2000,0.484593
CUB,2000,-1.115608
CYM,2000,1.297966
CYP,2000,1.174465
CZE,2000,0.574269
DEU,2000,1.68779
DJI,2000,-0.680099
DMA,2000,0.769063
