resourceIdentifier,resourceName,country,protocols,protocolSubCategories,estAnnualEmissionReductions,M4_tight,n_tight,M4_methodology,n_methodology,M4_subcat,n_subcat,M4_range
3818,Blue Carbon Mitigation through Community Based Mangrove Restoration,Myanmar,VM0033,ARR; WRC,259130,1.0,3,0.8863636363636364,44,0.8157894736842105,38.0,0.1842105263157895
3815,BOUTILI AFFORESTATION & AGROFORESTRY PROJECT,Central African Republic,AR-ACM0003,ARR,4264,1.0,1,0.13503649635036497,274,0.15742397137745975,559.0,0.864963503649635
3816,Samaúma REDD+ Project,Brazil,VM0007,REDD,425835,0.5789473684210527,38,0.5932203389830508,118,0.6495176848874598,311.0,0.0705703164664071
3813,MOTOR VERDE FORESTRY CARBON PROJECT - GRANDAS DE SALIME (SPAIN),Spain,AR-ACM0003,ARR,1449,0.6666666666666666,3,0.06934306569343066,274,0.08050089445438283,559.0,0.597323600973236
3814,Chestnut Carbon Conservation Project,United States,VM0003,IFM,221312,0.8571428571428571,7,0.7777777777777778,18,0.7628205128205128,156.0,0.09432234432234432
3811,Chirisa REDD+ Project,Zimbabwe,VM0009,REDD,476031,1.0,1,0.5862068965517241,29,0.6688102893890675,311.0,0.4137931034482759
3812,Painted Forest Carbon Project,Canada,VM0012,IFM,94169,0.6666666666666666,6,0.8333333333333334,18,0.5833333333333334,156.0,0.25
3795,Project 1,Estonia,AR-ACM0003,ARR,1460000,0.5,2,0.9635036496350365,274,0.9651162790697675,559.0,0.4651162790697675
3789,Ground-Truth® Australian Orchards,Australia,VM0042,ALM,232924,0.5,4,0.5882352941176471,221,0.7621359223300971,618.0,0.2621359223300971
3790,Sichuan Nanjiang Improved Forest Management Project,China,VM0010,IFM,33217,0.27941176470588236,68,0.23529411764705882,102,0.3333333333333333,156.0,0.0980392156862745
3791,Adjusted Water Management in Rice Cultivation in Jianyang City,China,AMS-III.AU,ALM,57471,0.28363636363636363,275,0.30344827586206896,290,0.284789644012945,618.0,0.01981191222570533
3792,Adjusted Water Management in Rice Cultivation in North of Dianjiang County in Chongqing City,China,AMS-III.AU,ALM,56373,0.19272727272727272,275,0.21379310344827587,290,0.24110032362459546,618.0,0.048373050897322745
3793,Adjusted Water Management in Rice Cultivation in South of Dianjiang County in Chongqing City,China,AMS-III.AU,ALM,52370,0.06545454545454546,275,0.07586206896551724,290,0.16666666666666666,618.0,0.1012121212121212
3794,Adjusted Water Management in Rice Cultivation in Jintang County,China,AMS-III.AU,ALM,56664,0.22727272727272727,275,0.24655172413793103,290,0.2564724919093851,618.0,0.029199764636657827
3787,SCALA LAOS AGROFORESTRY PROJECT 2,Lao,AR-ACM0003,ARR,35860,0.3333333333333333,3,0.4124087591240876,274,0.44364937388193204,559.0,0.11031604054859873
3774,Boomitra Carbon Farming in East Africa through Soil Enrichment,Kenya,VM0042,ALM,1249417,1.0,7,0.8959276018099548,221,0.9530744336569579,618.0,0.10407239819004521
3775,Adjusted Water Management in Rice Cultivation In Yunmeng County,China,AMS-III.AU,ALM,58484,0.4290909090909091,275,0.4413793103448276,290,0.34951456310679613,618.0,0.09186474723803145
3776,Adjusted Water Management in Rice Cultivation in Xiangyin County,China,AMS-III.AU,ALM,56756,0.24,275,0.25862068965517243,290,0.2621359223300971,618.0,0.02213592233009709
3777,Tibet Nagqu Improved Grassland Management Project,China,VM0026,ALM,216689,0.225,40,0.2978723404255319,47,0.7556634304207119,618.0,0.530663430420712
3778,Adjusted Water Management in Rice Cultivation in West Xiangyin County,China,AMS-III.AU,ALM,52230,0.06,275,0.0706896551724138,290,0.16423948220064724,618.0,0.10423948220064724
3779,Adjusted Water Management in Rice Cultivation in East Xiangyin County,China,AMS-III.AU,ALM,52230,0.06,275,0.0706896551724138,290,0.16423948220064724,618.0,0.10423948220064724
3780,Adjusted Water Management in Rice Cultivation in Pingjiang County,China,AMS-III.AU,ALM,54391,0.11636363636363636,275,0.1413793103448276,290,0.2022653721682848,618.0,0.08590173580464844
3781,Adjusted Water Management in Rice Cultivation in North Pingjiang County,China,AMS-III.AU,ALM,41922,0.01818181818181818,275,0.02413793103448276,290,0.127831715210356,618.0,0.10964989702853781
3782,Adjusted Water Management in Rice Cultivation in South Pingjiang County,China,AMS-III.AU,ALM,36567,0.007272727272727273,275,0.013793103448275862,290,0.11488673139158576,618.0,0.10761400411885848
3783,Adjusted Water Management in Rice Cultivation in Miluo County,China,AMS-III.AU,ALM,60000,0.98,275,0.9655172413793104,290,0.598705501618123,618.0,0.381294498381877
3784,Adjusted Water Management in Rice Cultivation in West Miluo County,China,AMS-III.AU,ALM,46766,0.038181818181818185,275,0.04310344827586207,290,0.1448220064724919,618.0,0.10664018829067373
3785,Adjusted Water Management in Rice Cultivation in East Miluo County,China,AMS-III.AU,ALM,46766,0.038181818181818185,275,0.04310344827586207,290,0.1448220064724919,618.0,0.10664018829067373
3786,Silvopastoral carbon project of Uruguay,Uruguay,AR-ACM0003,ARR,405,0.1111111111111111,9,0.051094890510948905,274,0.04114490161001789,559.0,0.06996620950109322
3765,Adjusted Water Management in Rice Cultivation in Qionglai City,China,AMS-III.AU,ALM,58017,0.32727272727272727,275,0.3448275862068966,290,0.3042071197411003,618.0,0.04062046646579626
3772,RE.GREEN AMAZON FOREST REFORESTATION/RESTORATION PROJECT,Brazil,AR-ACM0003,ARR,1062800,0.9090909090909091,22,0.9525547445255474,274,0.9534883720930233,559.0,0.044397463002114224
3773,Mindanao Forests for People and Sustainable Livelihoods (MinFor),Philippines,VM0007,ARR; REDD; WRC,274383,1.0,1,0.4830508474576271,118,0.3333333333333333,12.0,0.6666666666666667
3753,Adjusted Water Management in Rice Cultivation in Dayi County,China,AMS-III.AU,ALM,57352,0.28,275,0.3,290,0.28317152103559873,618.0,0.019999999999999962
3754,Adjusted Water Management in Rice Cultivation In Hongan County,China,AMS-III.AU,ALM,58111,0.36363636363636365,275,0.3793103448275862,290,0.32038834951456313,618.0,0.05892199531302306
3761,OLIVE GROVES FOR CARBON FARMING,Italy,VM0042,ALM,40414,0.8,5,0.22171945701357465,221,0.12297734627831715,618.0,0.6770226537216829
3763,Restoration in the Manduvirá region of Paraguay,Paraguay,AR-ACM0003,ARR,48256,0.7142857142857143,7,0.4781021897810219,274,0.5080500894454383,559.0,0.23618352450469238
3746,NaturAll Carbon Program – Conservation Agriculture and Land Management in Brazil,Brazil,VM0042,ALM,1562585,0.7,15,0.9253393665158371,221,0.9684466019417476,618.0,0.26844660194174763
3747,Adjusted Water Management in Rice Cultivation In Qichun County,China,AMS-III.AU,ALM,59064,0.5345454545454545,275,0.5413793103448276,290,0.39805825242718446,618.0,0.1433210579176431
3748,Hongze-1 Water Management with Rice Cultivation,China,AMS-III.AU,ALM,59554,0.6836363636363636,275,0.6827586206896552,290,0.46440129449838186,618.0,0.21923506913798174
3749,Hongze-2 Water Management with Rice Cultivation,China,AMS-III.AU,ALM,59806,0.769090909090909,275,0.7637931034482759,290,0.5040453074433657,618.0,0.2650456016475433
3750,Project 2,Estonia,Methodology Under Development,ARR,1460000,1.0,1,1.0,9,0.9651162790697675,559.0,0.03488372093023251
3740,Upscaling Livelihoods and Biodiversity Through Community mobilization and lagoon restoration in Anawasala Kalpitiya,Sri Lanka,VM0024; VM0021,ARR,4960,1.0,1,1.0,1,0.1771019677996422,559.0,0.8228980322003578
3743,RE.GREEN ATLANTIC FOREST REFORESTATION/RESTORATION PROJECT,Brazil,AR-ACM0003,ARR,487419,0.7272727272727273,22,0.8467153284671532,274,0.8872987477638641,559.0,0.1600260204911368
3737,Improved cropland management project in Noorgandusi,China,VM0042,ALM,1326616,0.9710144927536232,69,0.9049773755656109,221,0.9563106796116505,618.0,0.0660371171880123
3738,Triunfo do Xingu Grouped REDD+ Project,Brazil,VM0015; VM0048,REDD,110887,1.0,1,1.0,1,0.3022508038585209,311.0,0.6977491961414791
3739,Selva de Urundel REDD+ Project,Argentina,VM0015,REDD,317475,1.0,1,0.5964912280701754,114,0.572347266881029,311.0,0.427652733118971
3731,YICHENG -1 ADJUSTED WATER MANAGEMENT IN RICE CULTIVATION,China,AMS-III.AU,ALM,59605,0.7018181818181818,275,0.7,290,0.47249190938511326,618.0,0.22932627243306852
3732,Adjusted Water Management in Rice Cultivation in Xindu District,China,AMS-III.AU,ALM,55533,0.14545454545454545,275,0.16896551724137931,290,0.21844660194174756,618.0,0.07299205648720211
3733,Adjusted Water Management in Rice Cultivation In Xishui County,China,AMS-III.AU,ALM,58296,0.4,275,0.41379310344827586,290,0.3365695792880259,618.0,0.07722352416024997
3734,Bosques Cautin S.A. Grouped Forest Carbon Project Through Extension of Rotation Age,Chile,VM0003,IFM,138314,1.0,2,0.6111111111111112,18,0.6923076923076923,156.0,0.38888888888888884
3727,Corridors for Life ARR Grouped Project,Brazil,AR-ACM0003,ARR,584276,0.8181818181818182,22,0.8832116788321168,274,0.9105545617173524,559.0,0.09237274353553415
3728,Adjusted Water Management in Rice Cultivation In Macheng City,China,AMS-III.AU,ALM,56795,0.24363636363636362,275,0.2655172413793103,290,0.26537216828478966,618.0,0.021880877742946697
