resourceIdentifier,resourceName,proponent,protocolCategories,protocolSubCategories,protocols,resourceStatus,country,region,estAnnualEmissionReductions,version,projectRegistrationDate,creditingPeriodStartDate,creditingPeriodEndDate,createDate
3217,REDD+ Project in the Alto Predio Putumayo Indigenous Reservation in Colombia,"Asociación de Autoridades Tradicionales y Cabildos De Los Pueblos Indígenas Murui, Muinane, Coreguaje y Nasa Del Municipio De Leguizamo y Puerto Asis, Alto Resguardo Predio Putumayo - ACILAPP",Agriculture Forestry and Other Land Use,REDD,VM0009,Under development,Colombia,Latin America,451387,VCS Version 3,,2018-06-01,2028-05-31,2022-05-18
3218,Origen Atrato-Baudó REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0009,Registration and verification approval requested,Colombia,Latin America,343528,VCS Version 3,,2019-12-13,2049-12-12,2022-05-18
3209,Installation of high efficiency wood burning cookstoves in Tanzania 2,Bridge Carbon EA Stoves Private Limited,Energy demand,,VMR0006,Registered,Tanzania,Africa,1634456,VCS Version 3,2023-06-14,2023-06-01,2033-05-31,2022-05-18
3210,Bajo Atrato REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0009,Registration and verification approval requested,Colombia,Latin America,668184,VCS Version 3,,2019-10-17,2049-10-16,2022-05-18
3211,BISIGNANO AND MESORACA PROJECT OF AFFORESTATION OF THE AGRICULTURAL COMPANY GAIA SRL BAMBOO PLANTS,GAIA s.r.l. Societa Agricola,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Italy,Europe,48643,VCS Version 3,2026-01-14,2022-04-07,2064-04-06,2022-05-18
3212,Jiangxi Fuzhou Yihuang Rice Field Water Management Project,"Guangzhou Iceberg Environmental Consulting Services Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,38503,VCS Version 3,,2018-04-01,2028-03-31,2022-05-18
3213,Indigo Ag EU Project No.1,INDIGO CARBON PBC,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Switzerland,Europe,4021000,VCS Version 3,,2019-11-01,2039-10-31,2022-05-18
3214,CAGLAYANLAR BIOGAS PLANT,Çağlayanlar Biyogaz Elektrik Üretim Sanayi ve Ticaret Limited Şirketi,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management",,AM0073,Registered,Turkey,Middle East,615151,VCS Version 3,2023-12-04,2020-10-16,2027-10-15,2022-05-18
3215,ASATIQ Vaupés Maloca REDD+ Project,Association of Traditional Indigenous Authorities of Querarí (ASATIQ),Agriculture Forestry and Other Land Use,REDD,VM0009,Registration and verification approval requested,Colombia,Latin America,943225,VCS Version 3,,2019-11-08,2049-11-07,2022-05-18
3216,ASATRIZY Vaupés Maloca REDD+ Project,Association of Traditional Indigenous Authorities of the Yapú Zone (ASATRIZY),Agriculture Forestry and Other Land Use,REDD,VM0009,Registration and verification approval requested,Colombia,Latin America,355612,VCS Version 3,,2019-05-30,2049-05-29,2022-05-18
3199,Installation of high efficiency wood burning cookstoves in Gambia,Bridge Carbon Africa Stoves Development Private Limited,Energy demand,,VMR0006,Withdrawn,Gambia,Africa,1693445,VCS Version 3,2023-10-04,2022-10-19,2032-10-18,2022-05-16
3200,Installation of high efficiency wood burning cookstoves in South Sudan,C-Quest Capital Stoves Asia Limited,Energy demand,,VMR0006,Under development,Sudan,Africa,1788505,VCS Version 3,,2022-07-01,2032-06-30,2022-05-16
3201,HENAN SHANGCAI AGRICULTURAL LAND USE MANAGEMENT PROJECT,Xin Ran Agriculture and Animal Husbandry Co. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Withdrawn,China,Asia,107778,VCS Version 3,,2019-06-01,2039-05-31,2022-05-16
3202,HENAN RUNAN AGRICULTURAL LAND USE MANAGEMENT PROJECT,Xin Ran Agriculture and Animal Husbandry Co. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Withdrawn,China,Asia,68967,VCS Version 3,,2019-06-01,2039-05-31,2022-05-16
3203,Yunnan Yulong Afforestation Project,"Yulong State Owned Capital Investment and Operation Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,China,Asia,765439,VCS Version 3,,2018-06-16,2048-06-15,2022-05-16
3204,Grouped Projects For Laos Water Purifier,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,,AMS-III.AV.,Verification approval requested,Lao,Asia,65928,VCS Version 3,2024-02-19,2023-07-25,2033-07-24,2022-05-16
3205,Installation of high efficiency wood burning cookstoves in Uganda 2,Bridge Carbon EA Stoves Private Limited,Energy demand,,VMR0006,Registered,Uganda,Africa,1320579,VCS Version 3,2023-06-14,2022-07-01,2032-06-30,2022-05-16
3206,Installation of high efficiency wood burning cookstoves in Kenya 2,Bridge Carbon EA Stoves Private Limited,Energy demand,,VM0050,Registered,Kenya,Africa,2075549,VCS Version 3,2023-06-14,2022-05-01,2032-04-30,2022-05-16
3207,CO2 UTILIZATION IN CONCRETE - Removals & Reductions - CarbonCure - U.S. Project #1,CarbonCure Technologies Inc.,Construction; Manufacturing industries,,VM0043,Registered,United States,North America,32027,VCS Version 3,2023-03-20,,,2022-05-16
3208,Wheatbelt Biodiversity Carbon Credit Project,Decarbonology Pty Ltd,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Australia,Oceania,2205,VCS Version 3,2024-06-03,2022-07-27,2047-07-26,2022-05-16
3198,Installation of high efficiency wood burning cookstoves in Burundi,Bridge Carbon EA Stoves Private Limited,Energy demand,,VMR0006,Withdrawn,Burundi,Africa,2079450,VCS Version 3,2023-08-23,2022-08-25,2032-08-24,2022-05-15
3197,Kenya Jiko Kisasa Improved Cookstove Program I,"Guangzhou Iceberg Environmental Consulting Services Co., Ltd.",Energy demand,,VMR0006,Registered,Kenya,Africa,231347,VCS Version 3,2024-02-27,2022-06-21,2032-06-20,2022-05-15
3183,Cenzcouh Water Management with Rice Cultivation,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,58286,VCS Version 3,,,,2022-05-13
3184,Linzgvei Water Management with Rice Cultivation,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,58129,VCS Version 3,,,,2022-05-13
3185,Yangzsoz Water Management with Rice Cultivation,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,58081,VCS Version 3,,,,2022-05-13
3186,Hozbuj Water Management with Rice Cultivation,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,58293,VCS Version 3,,,,2022-05-13
3187,Binhyangz Water Management with Rice Cultivation,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,58077,VCS Version 3,,,,2022-05-13
3188,Hwngzcouh Water Management with Rice Cultivation,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Africa,58024,VCS Version 3,,,,2022-05-13
3189,Lungzanh Water Management with Rice Cultivation,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,58085,VCS Version 3,,,,2022-05-13
3190,Sanglinz Water Management with Rice Cultivation,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,58185,VCS Version 3,,,,2022-05-13
3191,Vujmingzgih Water Management with Rice Cultivation,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,58012,VCS Version 3,,,,2022-05-13
3192,Yunghningz Water Management with Rice Cultivation,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,58096,VCS Version 3,,,,2022-05-13
3193,Cinhcouh Water Management with Rice Cultivation,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,58127,VCS Version 3,,,,2022-05-13
3194,Lingzsanh Water Management with Rice Cultivation,Guangxi Meiluo Agricultural Science and Technology Co Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,58442,VCS Version 3,,,,2022-05-13
3195,Jinyujie Adjusted Water Management in Rice Cultivation,"Harbin Huanyu Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,58542,VCS Version 3,,,,2022-05-13
3196,Paracel ARR Carbon Forestry Project,Paracel S.A.,Agriculture Forestry and Other Land Use,ARR,VM0047,Registration and verification approval requested,Paraguay,Latin America,182551,VCS Version 3,,2019-12-12,2069-12-11,2022-05-13
3179,Conservation and restoration of the tropical dry forest of the north coast of Peru,Asociación para la Investigación y Desarrollo Integral – AIDER,Agriculture Forestry and Other Land Use,REDD,VM0006,Registration requested,Peru,Latin America,605242,VCS Version 3,,2021-07-01,2041-06-30,2022-05-12
3180,Sustainable Agriculture Land Management Project by Suminter India Organics,Suminter India Organics,Agriculture Forestry and Other Land Use,ALM,VM0042,Withdrawn,India,Asia,275748,VCS Version 3,,2017-10-01,2047-09-30,2022-05-12
3181,Longchuan Adjusted Water Management in Rice Cultivation,"Harbin Huanyu Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,58621,VCS Version 3,,,,2022-05-12
3182,Eastern DRC Cookstove Project - Tanganyika,POWA S.A,Energy demand,,VMR0006,Registered,"Congo, The Democratic Republic of The",Africa,302223,VCS Version 3,2024-05-28,2022-03-03,2029-03-02,2022-05-12
3174,Sustainable Agriculture land Management Project by Biowin Agro Research,Biowin Agro Research,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,India,Asia,26639,VCS Version 3,,2017-10-01,2047-09-30,2022-05-11
3175,"Biogas Production in Karnal, Haryana.",Multiple Proponents,Waste handling and disposal,,AMS-III.D.; AMS-III.AO.,Registration request denied,India,Asia,27813,VCS Version 3,,2021-12-15,2028-12-14,2022-05-11
3176,Changlinyan Adjusted Water Management in Rice Cultivation,"Harbin Huanyu Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,58499,VCS Version 3,,,,2022-05-11
3177,Puyang County MSW Landfill Site LFG Pollution Treatment and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Registered,China,Asia,31961,VCS Version 3,2023-01-10,2022-01-01,2031-12-31,2022-05-11
3168,Bangladesh Apon Chula Improved Cookstove Program II,Multiple Proponents,Energy demand,,VMR0006,Registered,Bangladesh,Asia,541746,VCS Version 3,2025-08-21,2022-06-24,2032-06-23,2022-05-10
3170,Fujian longyan IFM (conversion of logged to protected forest) Project,"Hangzhou Chaoteng Energy Technology Co., Ltd",Agriculture Forestry and Other Land Use,IFM,VM0010,Rejected by Administrator,China,Asia,46640,VCS Version 3,,2018-01-01,2047-12-31,2022-05-10
3172,"Forest Plantation Project in Ujjain, India",Ujjain Smart City Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,Asia,505,VCS Version 3,,2019-07-01,2039-06-30,2022-05-10
3173,Duzce Landfill Gas (LFG) Capture and Utilization Project,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001; ACM0022,Registration and verification approval requested,Turkey,Middle East,44746,VCS Version 3,,2021-01-01,2027-12-31,2022-05-10
3165,HENAN BIYANG AGRICULTURAL LAND USE MANAGEMENT PROJECT,Xin Ran Agriculture and Animal Husbandry Co. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Withdrawn,China,Asia,89473,VCS Version 3,,2019-06-01,2039-05-31,2022-05-09
3166,ReforesTerra Grouped Project,ReforesTerra – Restauração de Ecossistemas Florestais Ltda,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Brazil,Latin America,24516,VCS Version 3,2025-05-27,2023-01-13,2053-01-12,2022-05-09
3167,"AGRICULTURAL LAND MANAGEMENT PROJECT IN BARWANI DISTRICT  (MADHYA PRADESH), INDIA BY GODREJ AGROVET LTD",Godrej Agrovet Limited,Agriculture Forestry and Other Land Use,ALM,VM0017,Registration request denied,India,Asia,22774,VCS Version 3,,2020-07-15,2040-07-14,2022-05-09
3164,Yantai Xinhao Swine Farm Manure Management System GHG Mitigation Project,"Yantai Xinhao agriculture and animal husbandry Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0010,Registered,China,Asia,92011,VCS Version 3,2023-08-30,2021-03-05,2028-03-04,2022-05-08
3157,Distribution of energy efficient cookstoves in India-1,Greneity Infocom Service Pvt Ltd,Energy demand,,VMR0006,Under development,India,Asia,37417,VCS Version 3,,2021-06-01,2031-05-31,2022-05-06
3158,Distribution of energy efficient cookstoves in India-2,Greneity Infocom Service Pvt Ltd,Energy demand,,VMR0006,Withdrawn,India,Asia,201152,VCS Version 3,2022-12-21,2021-04-01,2031-03-31,2022-05-06
3159,Distribution of energy efficient cookstove in India-3,Greneity Infocom Service Pvt Ltd,Energy demand,,VMR0006,Under development,India,Asia,40152,VCS Version 3,,2021-06-01,2031-05-31,2022-05-06
3160,Distribution of energy efficient cookstoves in India-4,Greneity Infocom Service Pvt Ltd,Energy demand,,VMR0006,Withdrawn,India,Asia,170317,VCS Version 3,2022-12-20,2021-04-01,2031-03-31,2022-05-06
3161,Displacement of firewood by household biogas stoves in India,Greneity Infocom Service Pvt Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,India,Asia,51409,VCS Version 3,2023-01-10,2020-09-01,2030-08-31,2022-05-06
3162,Holistic development of North East India through clean energy access,SDG 13 Ventures Pte. Ltd.,Energy demand,,VMR0006,Registered,India,Asia,790204,VCS Version 3,2024-06-18,2023-06-01,2033-05-31,2022-05-06
3163,Red Sea Power Wind Farm,Sovereign Carbon Agency,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Djibouti,Africa,111817,VCS Version 3,2025-10-15,2023-06-01,2033-05-31,2022-05-06
3156,"Sustainable Rice Cultivation for Marginal Farmers in Madhya Pradesh, India",Value Network Ventures Advisory Services Pvt. Ltd.,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Withdrawn,India,Asia,189404,VCS Version 3,,2022-06-15,2029-06-14,2022-05-05
3155,NIGER DELTA MANGROVE PROJECT,everi GmbH,Agriculture Forestry and Other Land Use,ARR,AR-AM0014,Verification approval requested,Nigeria,,79406,VCS Version 3,2024-06-10,2021-11-23,2061-11-22,2022-05-04
3154,"Household Biogas Project in Uttarakhand, India",Green Solutions,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.E.,Registered,India,Asia,53673,VCS Version 3,2023-09-14,2020-09-22,2027-09-21,2022-05-03
3148,Hulin Adjusted Water Management in Rice Cultivation,"Harbin Huanyu Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,59066,VCS Version 3,,,,2022-05-02
3149,Qingfeng Adjusted Water Management in Rice Cultivation,"Harbin Huanyu Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,59796,VCS Version 3,,,,2022-05-02
3150,Zhenbaodao Adjusted Water Management in Rice Cultivation,"Harbin Huanyu Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,58797,VCS Version 3,,,,2022-05-02
3151,Clean Cooking Access for Women in Rural Maharashtra,SDG 13 Ventures Pte. Ltd.,Energy demand,,VMR0006,Registered,India,Asia,2116773,VCS Version 3,2024-08-06,2023-07-01,2033-06-30,2022-05-02
3152,Alto Xingu Grouped REDD+ Project,Ecológica Assessoria Ltda.,Agriculture Forestry and Other Land Use,REDD,VM0015,Registration and verification approval requested,Brazil,Latin America,50924,VCS Version 3,,2021-07-19,2051-07-18,2022-05-02
3153,Jiangxi Dingnan Improved Forest Management Project,Jiangxi Tianye Biotechnology Limited,Agriculture Forestry and Other Land Use,IFM,VM0010,Rejected by Administrator,China,Asia,60431,VCS Version 3,,2018-03-01,2048-02-29,2022-05-02
3146,Afforestation activity on deserted wasteland in the Arab peninsula (Ghaba),Dake Group,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,United Arab Emirates,,752122,VCS Version 3,,2022-11-11,2102-11-10,2022-05-01
3147,Jiangxi Suichuan Improved Forest Management Project,Jiangxi Tianye Biotechnology Limited,Agriculture Forestry and Other Land Use,IFM,VM0010,Rejected by Administrator,China,Asia,43163,VCS Version 3,,2018-03-01,2048-02-29,2022-05-01
3145,Proyecto REDD++ PANI,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007,Under validation,Colombia,Latin America,812888,VCS Version 3,,2022-01-01,2061-12-31,2022-04-30
3144,Bangladesh Apon Chula Improved Cookstove Program I,Multiple Proponents,Energy demand,,VMR0006,Registered,Bangladesh,Asia,541746,VCS Version 3,2025-08-22,2022-07-26,2032-07-25,2022-04-30
3136,Inner Mongolia Chao’er Forest Industry IFM Project,Chaoer Forest Bureau of Inner Mongolia Autonomous Region,Agriculture Forestry and Other Land Use,IFM,VM0010,Rejected by Administrator,China,Asia,247018,VCS Version 3,,2017-12-26,2047-12-25,2022-04-29
3137,Adjusted Water Management in Rice Cultivation in South Wuhua County,"Guangzhou Kaifeng Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,59585,VCS Version 3,,,,2022-04-29
3140,ZhaoQu Afforestation Project,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ARR; REDD,AR-ACM0003,Withdrawn,China,Asia,577730,VCS Version 3,,2019-09-15,2049-09-14,2022-04-29
3141,Western Amazon REDD+ Grouped Project,CARBON CREDITS CONSULTING S.R.L.,Agriculture Forestry and Other Land Use,REDD,VM0015,Registration and verification approval request denied,Brazil,Latin America,219250,VCS Version 3,,2019-01-10,2049-01-09,2022-04-29
3142,MOZBLUE: BUILDING AFRICA’S LARGEST MANGROVE RESTORATION PROJECT,Blue Forest Mozambique LDA,Agriculture Forestry and Other Land Use,ARR,VM0033,Registration requested,Mozambique,Africa,44159,VCS Version 3,,2024-11-15,2084-11-14,2022-04-29
3124,Shaanxi Shiquan Improved Forest Management Project,China Carbon Sinks Holdings Limited,Agriculture Forestry and Other Land Use,IFM,VM0010,Rejected by Administrator,China,Asia,28839,VCS Version 3,,2017-12-28,2047-12-27,2022-04-28
3125,Shaanxi Foping Improved Forest Management Project,China Carbon Sinks Holdings Limited,Agriculture Forestry and Other Land Use,IFM,VM0010,Rejected by Administrator,China,Asia,41521,VCS Version 3,,2017-12-28,2047-12-27,2022-04-28
3126,Qingfeng Biogas Recovery and Utilization Project,"Qingfeng Agro-pastoral Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,Asia,114369,VCS Version 3,2022-11-18,2021-08-05,2031-08-04,2022-04-28
3127,Guangxi Cenxi IFM (conversion  of  logged  to  protected  forest)  Project,"Cenxi Rural Investment Co ., Ltd",Agriculture Forestry and Other Land Use,IFM,VM0010,Under development,China,Asia,222611,VCS Version 3,,2018-01-01,2037-12-31,2022-04-28
3128,Luyi Biogas Recovery and Utilization Project,"Luyi Agro-pastoral Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Verification approval requested,China,Asia,228849,VCS Version 3,2022-11-29,2021-04-01,2031-03-31,2022-04-28
3129,Jiangxi Poyang Improved Forest Management Project,Jiangxi Tianye Biotechnology Limited,Agriculture Forestry and Other Land Use,IFM,VM0010,Rejected by Administrator,China,Asia,62129,VCS Version 3,,2017-12-15,2047-12-14,2022-04-28
3130,Shangcai Xima Biogas Recovery and Utilization Project,"Shangcai Agro-pastoral Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,Asia,175870,VCS Version 3,2022-11-18,2021-08-02,2031-08-01,2022-04-28
3131,Xiping Biogas Recovery and Utilization Project,"Xiping Agro-pastoral Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0010,Registered,China,Asia,211338,VCS Version 3,2022-11-18,2021-05-06,2031-05-05,2022-04-28
3132,Shangcai Chenfazhai Biogas Recovery and Utilization Project,"Shangcai Agro-pastoral Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,Asia,113496,VCS Version 3,2022-12-07,2021-09-01,2031-08-31,2022-04-28
3133,Huaxian Fengqiqiu Biogas Recovery and Utilization Project,"Huaxian Agro-pastoral Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0010,Registered,China,Asia,119844,VCS Version 3,2022-12-07,2021-06-03,2031-06-02,2022-04-28
3134,Huaxian Caiying Biogas Recovery and Utilization Project,"Huaxian Agro-pastoral Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Verification approval requested,China,Asia,191968,VCS Version 3,2022-11-29,2021-06-08,2031-06-07,2022-04-28
3135,Henan Grouped Biogas Recovery and Utilization Project,"Muyuan Foods Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-III.D.,Registered,China,Asia,210415,VCS Version 3,2022-11-18,2020-09-01,2027-08-31,2022-04-28
3118,Baowan Adjusted Water Management in Rice Cultivation,"Harbin Huanyu Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,59901,VCS Version 3,,,,2022-04-27
3119,Chaoyang Adjusted Water Management in Rice Cultivation,"Harbin Huanyu Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,59666,VCS Version 3,,,,2022-04-27
3120,Longxin Adjusted Water Management in Rice Cultivation,"Harbin Huanyu Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,59946,VCS Version 3,,,,2022-04-27
3121,Qingshan Adjusted Water Management in Rice Cultivation,"Harbin Huanyu Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,59978,VCS Version 3,,,,2022-04-27
3122,Qixing Adjusted Water Management in Rice Cultivation,"Harbin Huanyu Agricultural Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,Asia,59868,VCS Version 3,,,,2022-04-27
3123,EMIN BIOGAS PP KIRSEHIR,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AM0073,Registered,Turkey,Middle East,157527,VCS Version 3,2025-02-14,2020-08-28,2027-08-27,2022-04-27
3116,CAMBODIA PREY MOAN KHMER IMPROVED COOKSTOVE PROGRAM I,Multiple Proponents,Energy demand,,VMR0006,Registered,Cambodia,Asia,381007,VCS Version 3,2023-06-28,2022-04-24,2032-04-23,2022-04-26
3117,CO2 CAPTURE AND UTILIZATION IN CONCRETE ADDITIVES,Carbon Upcycling Technologies,Construction; Manufacturing industries,,VM0043,Under development,Canada,North America,130723,VCS Version 3,,2022-09-01,2032-08-31,2022-04-26
3114,Developing voluntary carbon market project for Dudhwa Tiger Reserve in India,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0037,Under development,India,Asia,358584,VCS Version 3,,2018-10-01,2048-09-30,2022-04-25
3115,Sustainable agricultural practices for carbon sequestration by Organic and Natural farming groups,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0017,Registered,India,Asia,686959,VCS Version 3,2025-09-26,2017-10-01,2042-09-30,2022-04-25
3110,Adjusted Water Management in Rice Cultivation in Wuhua County,"Guangdong Huizhou LNG Power Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,59274,VCS Version 3,,2019-08-10,2026-08-09,2022-04-22
3111,"Pingmei Huanglong New Energy Co., Ltd. Shoushan Coal Mine Gas Power Generation Project","Pingmei Huanglong New Energy Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0008,Under development,China,Asia,433793,VCS Version 3,,2020-10-01,2030-09-30,2022-04-22
3112,BABIL BIOGAS POWER PLANT,Multiple Proponents,Waste handling and disposal,,AM0073,Registered,Turkey,Middle East,73244,VCS Version 3,2024-07-04,2020-10-31,2027-10-30,2022-04-22
3099,Spectra Solar Park Ltd _35 MW AC Grid-Tied by Spectra Solar Park Limited,Spectra Solar Park Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Bangladesh,Asia,37042,VCS Version 3,2023-08-18,2021-03-12,2028-03-11,2022-04-21
3100,Hayi Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,59397,VCS Version 3,,2020-04-19,2027-04-18,2022-04-21
3101,Jinquan Geothermal Based Space Heating System,Henan Jinquan New Energy Co. LTD,Energy industries (renewable/non-renewable sources),,AM0072,Registered,China,Asia,32479,VCS Version 3,2024-09-20,2021-11-01,2031-10-31,2022-04-21
3102,Sipso Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,59661,VCS Version 3,,2020-04-07,2027-04-06,2022-04-21
3103,Weicuan-1 Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,59716,VCS Version 3,,2020-03-29,2027-03-28,2022-04-21
3104,Weicuan-2 Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,59634,VCS Version 3,,2020-03-30,2027-03-29,2022-04-21
3105,Zhuangmiao-1 Water Management with Rice Cultivation,"Guizhou Yuanda Carbon Forestry Development Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,59921,VCS Version 3,,2020-03-31,2027-03-30,2022-04-21
3106,Zhuangmiao-2 Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,59423,VCS Version 3,,2020-03-28,2027-03-27,2022-04-21
3107,Zhuangmiao-3 Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,59657,VCS Version 3,,2020-03-27,2027-03-26,2022-04-21
3108,Zhuangmiao-4 Water Management with Rice Cultivation,"Yunnan Ruihan Agricultural Technology Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,Asia,59208,VCS Version 3,,2020-04-07,2027-04-06,2022-04-21
