resourceIdentifier,resourceName,proponent,protocolCategories,protocolSubCategories,protocols,resourceStatus,country,region,estAnnualEmissionReductions,version,projectRegistrationDate,creditingPeriodStartDate,creditingPeriodEndDate,createDate
5905,Gunung Mas Community Forest Restoration Project,Asia Assets Developments Co. Ltd.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Indonesia,Asia,445244,VCS Version 3,,2026-01-01,2065-12-31,2026-01-22
5906,Arbonics Afforestation Project Five,Arbonics OU,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,United Kingdom,Europe,2000,VCS Version 3,,2023-01-22,2063-01-21,2026-01-22
5903,Gewan District Cooling Plant,Qatar District Cooling Company,Energy demand,,AMS-II.C.,Under validation,Qatar,Middle East,27073,VCS Version 3,,2024-05-29,2031-05-28,2026-01-21
5901,"PROJECT URAMIA – COMMUNITY-LED FOREST CONSERVATION REDD+ PROJECT IN CHOCÓ, COLOMBIA",Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Colombia,Latin America,1338705,VCS Version 3,,2024-05-10,2064-05-09,2026-01-16
5897,HARIT BHARAT - TELANGANA,Iora Ecological Solutions Private Limited,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,Asia,1892926,VCS Version 3,,2023-01-20,2053-01-19,2026-01-13
5896,Project Sierra Verde,Arkadiah Technology Pte. Ltd.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Philippines,Asia,64788,VCS Version 3,,,,2026-01-13
5894,Grouped BioCNG Projects for Clean Energy Transition in India,Multiple Proponents,Waste handling and disposal,,AMS-III.D.; AMS-III.AO.,Under validation,India,Asia,60000,VCS Version 3,,2024-08-01,2031-07-31,2026-01-12
5895,BigCoast Forest Climate Initiative Haida Gwaii,Mosaic Forest Management Corporation,Agriculture Forestry and Other Land Use,IFM,VM0012,Under validation,Canada,North America,49688,VCS Version 3,,2018-01-01,2047-12-31,2026-01-12
5893,Processing of Municipal Solid Waste (Organic Wet Waste) through Black Soldier Fly Technology,MUKKA PROTEINS LIMITED,Waste handling and disposal,,ACM0022,Under validation,India,Asia,58940,VCS Version 3,,2025-07-07,2035-07-06,2026-01-09
5891,Forest Landscape Restoration in North Sulawesi Province,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Indonesia,Asia,158764,VCS Version 3,,2025-01-01,2064-12-31,2026-01-08
5888,Developing Voluntary Carbon Market Projects for Tree Plantations in the State of Assam,Assam Environment and Forest Department (AEFD),Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,Asia,54765,VCS Version 3,,2023-07-01,2063-06-30,2026-01-06
5889,Cabeceira do Xingu REDD Project,CABECEIRA DO XINGU LTDA,Agriculture Forestry and Other Land Use,REDD,VM0048,Under validation,Brazil,Latin America,55041,VCS Version 3,,2025-08-05,2065-08-04,2026-01-06
5890,AgriCapture South Asia Rice Methane Project,"AgriCapture, Inc.",Agriculture Forestry and Other Land Use,ALM,VM0051,Under development,India,Asia,566547,VCS Version 3,,2026-01-01,2032-12-31,2026-01-06
5882,Henan Xuehu CMM Power Generation Project,"Henan Shenhuo Energy Development Co., Ltd.","Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas)",,ACM0008,Under validation,China,Asia,267520,VCS Version 3,,2024-11-09,2034-11-08,2026-01-04
5883,Guizhou Qinglong CMM Phase IV Power Generation Project,"Guizhou Qianxi Energy Development Co., Ltd.","Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas)",,ACM0008,Registration and verification approval requested,China,Asia,282722,VCS Version 3,,2024-05-01,2034-04-30,2026-01-04
5884,Guizhou Zhongxin CMM Power Generation Project,"Baili Dujuan Yuekai New Energy Co., Ltd.","Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas)",,ACM0008,Under validation,China,Asia,176885,VCS Version 3,,2024-06-11,2034-06-10,2026-01-04
5885,Guizhou Anshun CMM Power Generation Project,"Goldchina Consultancy International Co., Ltd.","Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas)",,ACM0008,Under validation,China,Asia,316835,VCS Version 3,,2024-10-01,2034-09-30,2026-01-04
5886,Guizhou Jiangxi CMM Power Generation Project,Guizhou Luzhong Mining Co. LTD.,"Energy industries (renewable/non-renewable sources); Fugitive emissions from fuels (solid, oil and gas)",,ACM0008,Under validation,China,Asia,128033,VCS Version 3,,2024-06-15,2034-06-14,2026-01-04
5887,Bell Enviro -Malaysia Integrated Municipal Solid Waste Recovery and Processing Project,Climate Quest Sdn Bhd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under development,Malaysia,Asia,187129,VCS Version 3,,,,2026-01-04
5878,GEOPOLY Geopolymer Cement Project in Jiaozuo,"Jiaozuo GEOPOLY New Materials Co., Ltd.",Construction,,VMR0012,Under validation,China,Asia,190740,VCS Version 3,,2023-05-10,2030-05-09,2025-12-30
5879,Amazon Forest Landscape Restoration - Outgrowers Component,Amazon Restoration Company S.A.C.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Peru,Latin America,5115,VCS Version 3,,2025-01-01,2064-12-31,2025-12-30
5880,Electric Mobility Program Peru VCS,Grutter Consulting AG,Transport,,VMR0014; VM0038,Under validation,Peru,Latin America,277445,VCS Version 3,,2026-01-01,2035-12-31,2025-12-30
5881,Electric Mobility Program Mexico,Multiple Proponents,Transport,,VMR0014; VM0038,Under validation,Mexico,North America,296106,VCS Version 3,,2026-01-01,2035-12-31,2025-12-30
