resourceIdentifier,resourceName,country,protocols,protocolSubCategories,estAnnualEmissionReductions,n_peers,loo_mean,M1,M2,M4
5679,Igombe REDD+ Project,Tanzania,VM0048,REDD,197030,2,622735.0,62339.23081246437,1.0,0.5
5680,CO2ROZO,Colombia,VM0007; VM0042,ALM; REDD; WRC,336242,1,,,,
5678,Logged to Protected Forest Spain,Spain,VM0010,IFM,378,1,,,,
5676,MISITU ARR PROJECT - MT. KENYA REGION,Kenya,VM0047,ARR,521726,3,162765.0,1672337.5361779253,3.0,1.0
5670,"Mixed afforestation in Puerto Valle Nuevo, Corrientes, Argentina",Argentina,VM0047,ARR,42860,13,49676.5,36978.84512797802,7.0,0.5384615384615384
5671,Lisala REDD+ Project,"Congo, The Democratic Republic of The",VM0007,REDD,719149,1,,,,
5673,California Impact Project,United States,VM0047,ARR,8795180,5,94218.5,821019133.5289779,5.0,1.0
5669,DIMITRA CARBON: MEXICO CONSERVATION PROJECT,Mexico,VM0047,ARR,155694,2,12352.0,1962485.5599093265,2.0,1.0
5663,The Lam Son Regenerative Sugarcane Project,Viet Nam,VM0042,ALM,1135,1,,,,
5662,Brazilian Citrus Program For Climate Adaptation,Brazil,VM0042,ALM,93260,15,1831762.2142857143,4748.120434066009,2.0,0.13333333333333333
5660,Tukuze,Kenya,VM0047,ARR,240641,3,303307.5,190922.0539584415,2.0,0.6666666666666666
5655,Lumwana REDD+ Project,Zambia,VM0048,REDD,203302,2,63163.0,654365.7394993905,2.0,1.0
5652,Boreal Mix,Sweden,VM0012,IFM,36334,1,,,,
5653,Green Portneuf Project,Canada,VM0034,IFM,44000,11,59994.5,32269.62471559893,9.0,0.8181818181818182
5651,Carbon Smart Farming Initiative,South Africa,VM0042,ALM,171510,5,239416.0,122864.30355531794,3.0,0.6
5643,Oyu – Green Growth Uganda,Uganda,VM0047,ARR,65085,4,206781.33333333334,20485.684837767432,2.0,0.5
5638,Henan Wancheng Improved Agricultural Land Management Project,China,VM0042,ALM,155063,69,334684.2794117647,71842.43613491574,33.0,0.4782608695652174
5639,Sustainable Grassland Management Project in Sukhbaatar Province,Mongolia,VM0042,ALM,162000,7,381333.3333333333,68821.67832167832,2.0,0.2857142857142857
5640,Sustainable Grassland Management Project in Tov Province,Mongolia,VM0042,ALM,200000,7,375000.0,106666.66666666667,4.5,0.6428571428571429
5637,REDD+ PROJECT ARARA PEOPLE,Brazil,VM0048,REDD,1539048,11,274301.7,8635268.196675412,11.0,1.0
5634,Lower Sepik REDD+ Project,Papua New Guinea,VM0007; VM0048,REDD,655969,4,2129317.3333333335,202081.35359861812,2.0,0.5
5628,Greening of the dried Aral Sea,Kazakhstan,VM0047,ARR,9123,1,,,,
5632,Green and Carbon Capture project,Colombia,VM0047,ARR,15759,6,35147.4,7065.845012717868,4.0,0.6666666666666666
5631,Enviro Rise,Indonesia,VM0007; VM0047,ARR; REDD; WRC,1316941,3,374359.5,4632802.419815712,3.0,1.0
5624,MANDJI IMPROVEMENT,Gabon ,VM0035,IFM,323996,1,,,,
5625,MANDJI PROTECTION,Gabon ,VM0010,IFM,58429,1,,,,
5620,"CARBON AGROFORESTRY IN CIMANUK, PROGO AND BRANTAS WATERSHED - INDONESIA",Indonesia,VM0047,ARR,826,5,1044494.0,0.6532119858993924,1.0,0.2
5618,TOURBA PROJECT – IMPROVED AGRICULTURAL PRACTICES IN BRAZIL,Brazil,VM0042,ALM,2625935,15,1650856.857142857,4176942.776346535,14.0,0.9333333333333333
5615,Regenerative Agriculture and Forestry Technologies (RAFT),Malawi,VM0047,ARR,135668,4,331956.3333333333,55446.46803143787,3.0,0.75
5610,AgriCarbon Regenerative Orchards,Israel,VM0042,ALM,9000,6,111448.8,726.791136378319,3.0,0.5
5607,Humus Program,France,VM0042,ALM,733000,3,17822.0,30147514.308158457,3.0,1.0
5608,Manduri Caatinga Grouped IFM Project,Brazil,VM0003,IFM,91,1,,,,
5595,Improved Agricultural Land Management Grouped Carbon Project In India,India,VM0042,ALM,65047,27,838955.7307692308,5043.30807195337,13.0,0.48148148148148145
5594,Climate Resilient Bamboo Plantations for Enhancing Rural Livelihoods in India,India,VM0047,ARR,101846,37,202584.77777777778,51201.31842965058,19.0,0.5135135135135135
5592,Climate Smart Agroforestry for Carbon Sequestration in India,India,VM0047,ARR,141707,37,201477.52777777778,99668.05762649846,22.0,0.5945945945945946
5593,Growing Carbon Sinks through Agroforestry in India,India,VM0047,ARR,100501,37,202622.13888888888,49848.70387997802,18.0,0.4864864864864865
5589,Incentivising Biodiversity and Climate Resilience Initiative,India,VM0047,ARR,159434,37,200985.11111111112,126473.05173738684,23.0,0.6216216216216216
5590,NATURALL CARBON PROGRAM: REGENERATIVE AGRICULTURE IN BRAZIL – PROJECT IV,Brazil,VM0042,ALM,1562585,15,1726810.4285714286,1413977.9571779447,10.5,0.7
5591,NATURALL CARBON PROGRAM: REGENERATIVE AGRICULTURE IN BRAZIL – PROJECT V,Brazil,VM0042,ALM,1562585,15,1726810.4285714286,1413977.9571779447,10.5,0.7
5587,Conkouati-Douli National Park REDD+ Project,Congo,VM0007,REDD,372678,1,,,,
5585,PROJECT LESTARI,Indonesia,VM0007; VM0048,REDD,2351492,1,,,,
5581,Carbon sequestration through Mangrove Afforestation & Restoration in Bangladesh,Bangladesh,VM0033,ARR; WRC,37724,1,,,,
5578,Re.green Landscapes: Native Forest Restoration in the Atlantic Forest,Brazil,VM0047,ARR,115389,16,336873.13333333336,39524.14129691158,10.0,0.625
5580,Akiing Azhenan Improved Forest Management Project,United States,VM0045,IFM,25000,3,165562.0,3775.0208381150264,1.0,0.3333333333333333
5576,Chatham Islands / Rekohu Natural Regeneration Project,New Zealand,VM0047,ARR,150166,2,10000.0,2254982.7556,2.0,1.0
5571,"Tea Shade Development and Ecological (TSHADE) Restoration Project, Sri Lanka",Sri Lanka,VM0047,ARR; IFM,567471,1,,,,
5570,Bago Bamboo for Climate Carbon Forest Project,Myanmar,VM0047,ARR,4169,1,,,,
5568,TOURBA PROJECT – IMPROVED AGRICULTURE PRACTICES IN NIGERIA,Nigeria,VM0042,ALM,651199,1,,,,
5566,Boomitra Grassland Restoration in Costa Rica,Costa Rica,VM0042,ALM,169950,1,,,,
5567,Regenerative Agriculture Initiative 'Insoil',Poland,VM0042,ALM,533032,4,301509.3333333333,942336.0460615924,3.0,0.75
5565,Projeto REDD+ Xikrin do Cateté,Brazil,VM0048,REDD,1111885,11,317018.0,3899741.5075011514,10.0,0.9090909090909091
5562,Galician Atlantic Forest Restoration Grouped Project,Spain,VM0047,ARR,2544,1,,,,
5555,KOSHER BLUE CARBON - 2,India,VM0033,ARR,57316,3,43228.0,75995.27750532063,2.0,0.6666666666666666
5556,Green Samar,Philippines,VM0047,ARR,312464,6,200487.8,486981.00979710487,5.0,0.8333333333333334
5545,YAKOPI Mangrove Restoration Project,Indonesia,VM0033,ARR; WRC,38870,3,573735.0,2633.4054920825815,1.0,0.3333333333333333
5535,RALICÓ FARM: A MODEL FOR REGENERATIVE GRAZING,Argentina,VM0042,ALM,9400,7,570857.6666666666,154.78464275683433,2.0,0.2857142857142857
5533,"PROJECT TO AFFOREST AND PRESERVE DEGRADED AND FALLOW INDIGENOUSLY OWNED LANDS IN WEST BENGAL, INDIA",India,VM0047,ARR,20000,37,204858.27777777778,1952.5693779086844,9.0,0.24324324324324326
5527,Mandassaia Farm Carbon REDD+ Project,Brazil,VM0048,REDD,351207,11,393085.8,313789.90756979777,9.0,0.8181818181818182
5526,Sustainable Grassland Management Project in Dornod Province,Mongolia,VM0042,ALM,108000,7,390333.3333333333,29882.15200683177,1.0,0.14285714285714285
5524,Central Seram IFM RestorationWISE Project,Indonesia,VM0010,IFM,1000000,5,701225.0,1426075.7959285537,4.0,0.8
5522,Grouped Mangrove Restoration Project to Secure Livelihoods and Combat Climate Change in India,India,VM0033,WRC,165058,1,,,,
