n_obs,RMSE,MAE,Bias_actual_minus_shadow,R2,Spearman,Pearson,Within_3pts,Within_6pts,Country
11,3.628156008878042,2.886517596708387,2.43386945593646,-6.374006662017125,0.06454972243679029,0.3528465778018266,0.5454545454545454,0.9090909090909091,Kyrgyzstan
22,3.6819468525835126,3.029652699869658,-2.415037377192905,-1.4120792539732832,0.6247055993900326,0.5990714371915027,0.5,0.9545454545454546,Serbia
26,3.766577850546722,3.2741522579790048,0.850004595769205,0.24061322057454615,0.43076009363530327,0.5768631251543347,0.4230769230769231,0.9230769230769231,Hong Kong
26,3.7696228450926155,3.0841813479932414,1.4426712203546954,0.5901571950760385,0.9174029795656421,0.919636563721736,0.5,0.9230769230769231,South Korea
7,3.7796889179799757,3.334442524319538,-3.334442524319538,-1.046831483971728,0.8964214570007953,0.8834408924978697,0.42857142857142855,1.0,Mali
26,3.835865308538233,3.378609862319848,3.378609862319848,-206.22023253556353,-0.2309401076758503,-0.19394482593736287,0.5,0.8846153846153846,Netherlands
7,3.9348689925485663,3.4174549132689145,-0.9139256158800355,0.06336233896606402,0.45817096691151754,0.3969341328719327,0.5714285714285714,0.7142857142857143,Niger
20,4.000161793808442,2.86648954754804,1.8918843911630454,-5.539481737581518,0.33380555427878883,0.19279218108667492,0.7,0.9,Azerbaijan
20,4.1746624517626385,3.7384406150101825,-3.5396808189865836,-1.1958020740098383,0.7042919013227248,0.8362907822072274,0.35,0.9,Georgia
18,4.254674321261946,3.6805709001951175,3.521052470320172,-3.7481320865588987,-0.2691768702429462,-0.08886289831439009,0.5,0.7777777777777778,Uganda
26,4.263998371015904,3.916758178829492,3.916758178829492,-19.86726163841387,-0.3013108693729565,-0.1926482236514657,0.4230769230769231,0.8846153846153846,Austria
26,4.483344028337839,3.9230843136790807,-1.6998812778872652,0.14570015527775948,0.5296549278985541,0.5268518618414602,0.3076923076923077,0.7692307692307693,Trinidad and Tobago
19,4.5396137506137055,3.9704424963792304,3.603170988059524,-inf,,,0.3684210526315789,0.7368421052631579,Cambodia
26,4.561809195811846,3.5234120802712208,-0.20588117070168258,0.2807684485877723,0.6355023196491433,0.5530479171076046,0.5384615384615384,0.8076923076923077,Qatar
26,4.605653174848639,3.7400934276174955,-3.487392561597848,-6.8820062272296285,0.09743755807830112,0.044847186224980115,0.46153846153846156,0.8076923076923077,Malta
20,4.608671743270805,4.094627331170921,1.485030749360885,-5.100119974790237,-0.4956621243187189,-0.4382413988077913,0.35,0.7,Kenya
26,4.630911867144193,3.6759481769484763,-1.180347785594341,0.5289073129562306,0.8016056543929874,0.7654675490149823,0.5,0.7692307692307693,Paraguay
26,4.679559784971564,3.6884204452589566,1.80747770614996,-0.1604011234647036,0.6228703740827876,0.6684708416227555,0.5384615384615384,0.7307692307692307,Lithuania
26,4.77762731961938,4.643534344586458,4.643534344586458,-7.154413326091824,0.5886377427449737,0.786657194944611,0.11538461538461539,0.8846153846153846,Malaysia
26,4.819861506388049,3.8080222762948845,3.7323955547261525,-1.8078311997058156,0.9168845313904311,0.8693087572750239,0.4230769230769231,0.8076923076923077,Estonia
26,4.8917880474226365,4.643115815655377,4.643115815655377,-1.4461519799505695,0.855383956175069,0.8962997978711916,0.07692307692307693,0.8076923076923077,Czech Republic
16,4.92328939089506,3.6389171721025724,1.2482157713249467,-0.15101600392950498,0.33784045665772655,0.31694986307104156,0.6875,0.875,Angola
26,4.99418922119006,3.93894468379752,-3.114586917804551,-0.7084116787482797,0.37016117886732913,0.4882697376498343,0.5,0.6923076923076923,Turkey
26,4.997120996472016,4.2340268795554,4.2340268795554,-7.719289018226176,-0.5871983181190702,-0.5945950212886257,0.46153846153846156,0.6153846153846154,Belgium
21,5.016237701312587,4.517376133374525,-2.624845293214731,-3.4672804098819565,-0.8664002254439634,-0.8843263715611088,0.19047619047619047,0.7142857142857143,Macedonia
26,5.032209568526717,4.638681180092769,4.638681180092769,-12.71669711835142,0.6367162928049164,0.7731639582521389,0.23076923076923078,0.7307692307692307,Poland
26,5.048305734878248,4.625280347731989,0.02783441285939503,-0.4157386947108155,-0.6572604679356013,-0.6346846357836611,0.23076923076923078,0.8461538461538461,Japan
26,5.11012954564721,4.3639171199413145,2.3750640825056446,-3.270894479150421,0.6446579321842496,0.6044274487767557,0.38461538461538464,0.6923076923076923,Vietnam
26,5.134824082171864,4.536426879628587,0.09477745812033743,-0.32824344644757697,-0.3579035961935854,-0.255631650733357,0.23076923076923078,0.7692307692307693,Bolivia
20,5.152941913691287,4.712318586094322,-0.29163422428481917,-4.297979372166391,-0.7468806018514075,-0.6734626004301487,0.25,0.7,Armenia
26,5.188866160458376,4.13107638863641,3.5520378900971603,0.00927544652337553,0.6143784675122963,0.6929941648788173,0.4230769230769231,0.8076923076923077,Bulgaria
8,5.264380794579085,4.784111071445437,4.784111071445437,-24.429062790269814,0.2999433053004481,0.22876375386459818,0.25,0.625,Uzbekistan
26,5.290410136813337,4.906626073997404,-3.719743138019363,-1.5443180426977827,0.5004549737284014,0.42270859286568685,0.15384615384615385,0.8076923076923077,Dominican Republic
26,5.323902703721963,4.255225073762711,-2.209006796504048,-2.260252414347434,-0.06075563368594189,-0.12081367892527414,0.46153846153846156,0.6538461538461539,Fiji
26,5.415134297318425,4.577885647372507,4.138682763117463,0.49156644830193497,0.9440138683321948,0.9517731549127548,0.4230769230769231,0.5384615384615384,Indonesia
26,5.438320402701746,5.160395772113312,5.160395772113312,-inf,,,0.0,0.7692307692307693,Germany
26,5.522907605145435,4.721992700914587,4.620198159324276,-1.4966334530236027,0.49217812261081756,0.5025855034702016,0.3076923076923077,0.5769230769230769,Chile
26,5.5443622656928655,4.569301820974867,-4.082965769835052,-4.027571083982219,-0.658315324935633,-0.6229077969517722,0.4230769230769231,0.5769230769230769,Jordan
26,5.551648173379109,4.851225839330912,-3.443054005266058,-0.8358321499784047,0.4709571817346344,0.5031462238412097,0.23076923076923078,0.6153846153846154,Macau
26,5.599567900548771,5.433901047260695,5.433901047260695,-22.970696765451827,0.1061538704420177,0.12444376524502455,0.038461538461538464,0.6153846153846154,Morocco
26,5.75382309302484,4.825672730661674,-0.46531181589053744,-0.4001270379040829,-0.22169619860369583,-0.318336147161397,0.34615384615384615,0.6153846153846154,Hungary
26,5.756464532473046,5.365550421096274,5.365550421096274,-34.04189835840002,-0.3351258478606559,-0.015092088194101507,0.15384615384615385,0.5769230769230769,New Zealand
26,5.923553037125428,4.981260078947679,-2.188591596891499,-10.458846799294305,-0.5354735611885377,-0.612542750030002,0.3076923076923077,0.6538461538461539,Papua New Guinea
26,5.952319552135716,4.4896590810970105,-3.119349535059864,-1.73223283621929,-0.225825443109424,-0.10520040102509715,0.46153846153846156,0.6538461538461539,Croatia
26,6.017394567458735,4.6350585316881885,2.9887163514737574,-1.2251593617604835,0.46821858856607146,0.30174285294043685,0.46153846153846156,0.6538461538461539,Latvia
16,6.101742519131527,5.7216219017059915,5.7216219017059915,-34.597396874185065,-0.2895309965199667,-0.3210376480558231,0.125,0.5625,Bangladesh
26,6.109209963874877,5.607425777736295,5.236120608671267,-2.1819868526561557,0.4943091476504261,0.39432386128157215,0.19230769230769232,0.46153846153846156,United Arab Emirates
19,6.119391134043053,5.3643841219832105,-5.3643841219832105,-20.7686766092707,0.19693743406882236,0.2672686039428372,0.3157894736842105,0.47368421052631576,Albania
26,6.141409382285547,5.210402350522471,-3.211120097019446,-0.7861975669304981,-0.305376619027897,-0.18537405107786692,0.3076923076923077,0.5769230769230769,Bermuda
26,6.389403851877853,5.792125271415392,3.449822747648062,-0.47634673673014993,0.14938731924707746,0.058256341204884404,0.15384615384615385,0.5384615384615384,South Africa
26,6.405973896276414,5.885830435928638,2.008930708579935,0.21032543950104876,0.6914726718573196,0.6779609403820249,0.15384615384615385,0.5384615384615384,Egypt
26,6.427514954349936,5.0904232576178154,-0.6527109237848255,0.43447029993817665,0.7481956810529499,0.6738735249037624,0.4230769230769231,0.6153846153846154,Venezuela
13,6.457470939277289,6.367374470028855,-4.391435105748315,-25.5428223255827,0.0632139541241014,-0.23541812659909844,0.0,0.38461538461538464,Congo
26,6.531832649267351,6.105987767055098,6.105987767055098,-3.5975260549845167,0.5828836182737918,0.68228006230121,0.15384615384615385,0.4230769230769231,Colombia
26,6.543485328186688,6.484326432436946,6.484326432436946,-66.0009892647487,0.38490017945975047,0.4585086142929849,0.0,0.23076923076923078,Canada
26,6.654126472026139,5.742999705271662,3.2540762188953867,-0.9646551884126069,-0.41836417060462794,-0.23469242585399258,0.3076923076923077,0.46153846153846156,Slovenia
